Date, Name, Value, ChangePer
10:58 AM EST 11/18/19, AMZN, 1744.23, 0.27%
10:58 AM EST 11/18/19, GOOGL, 1320.87, -0.95%
10:59 AM EST 11/18/19, MSFT, 149.4381, -0.35%
10:59 AM EST 11/18/19, AMZN, 1743.15, 0.21%
10:59 AM EST 11/18/19, GOOGL, 1320.27, -1.00%
11:01 AM EST 11/18/19, MSFT, 149.44, -0.35%
11:01 AM EST 11/18/19, AMZN, 1742.98, 0.20%
11:00 AM EST 11/18/19, GOOGL, 1320.555, -0.97%
11:02 AM EST 11/18/19, MSFT, 149.39, -0.39%
11:01 AM EST 11/18/19, AMZN, 1742.22, 0.16%
11:02 AM EST 11/18/19, GOOGL, 1319.93, -1.02%
11:03 AM EST 11/18/19, MSFT, 149.4177, -0.37%
11:03 AM EST 11/18/19, AMZN, 1743.30, 0.22%
11:03 AM EST 11/18/19, GOOGL, 1321.125, -0.93%
11:04 AM EST 11/18/19, MSFT, 149.395, -0.38%
11:04 AM EST 11/18/19, AMZN, 1741.8555, 0.14%
11:04 AM EST 11/18/19, GOOGL, 1320.58, -0.97%
11:05 AM EST 11/18/19, MSFT, 149.385, -0.39%
11:05 AM EST 11/18/19, AMZN, 1742.665, 0.18%
11:04 AM EST 11/18/19, GOOGL, 1320.15, -1.00%
11:06 AM EST 11/18/19, MSFT, 149.37, -0.40%
11:06 AM EST 11/18/19, AMZN, 1741.6531, 0.12%
11:06 AM EST 11/18/19, GOOGL, 1319.4364, -1.06%
11:07 AM EST 11/18/19, MSFT, 149.3457, -0.42%
11:07 AM EST 11/18/19, AMZN, 1742.435, 0.17%
11:07 AM EST 11/18/19, GOOGL, 1318.80, -1.11%
11:08 AM EST 11/18/19, MSFT, 149.32, -0.43%
11:08 AM EST 11/18/19, AMZN, 1744.20, 0.27%
11:08 AM EST 11/18/19, GOOGL, 1318.22, -1.15%
11:10 AM EST 11/18/19, MSFT, 149.3339, -0.42%
11:10 AM EST 11/18/19, AMZN, 1745.565, 0.35%
11:09 AM EST 11/18/19, GOOGL, 1318.571, -1.12%
11:11 AM EST 11/18/19, MSFT, 149.36, -0.41%
11:11 AM EST 11/18/19, AMZN, 1746.35, 0.39%
11:11 AM EST 11/18/19, GOOGL, 1320.5495, -0.97%
11:12 AM EST 11/18/19, MSFT, 149.43, -0.36%
11:12 AM EST 11/18/19, AMZN, 1748.00, 0.49%
11:11 AM EST 11/18/19, GOOGL, 1320.5495, -0.97%
11:13 AM EST 11/18/19, MSFT, 149.32, -0.43%
11:13 AM EST 11/18/19, AMZN, 1747.115, 0.44%
11:13 AM EST 11/18/19, GOOGL, 1320.83, -0.95%
11:14 AM EST 11/18/19, MSFT, 149.21, -0.51%
11:14 AM EST 11/18/19, AMZN, 1745.00, 0.32%
11:14 AM EST 11/18/19, GOOGL, 1319.45, -1.06%
